county,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,prosperity_score
Autauga AL,12067.5024,9984.05268,14723.6076,17319.1128,7990.1484,15824.694,11168.75028,-0.22900664229940668
Baldwin AL,11064,10733.60664,14768.1084,16888.014,7898.13276,15348.1992,10867.22676,0.21716723218823922
Barbour AL,7776,9354.42768,13611.864,16991.9136,6207.02928,11644.67508,8052.29664,-1.3433003337294964
Bibb AL,9779.52168,8814.74928,15243.2712,17642.436,6737.43756,13798.2588,9694.22676,-1.1165855318134954
Blount AL,8886.84084,9414.39252,15253.2432,17642.436,6631.25832,13175.9808,9438.76536,-0.4953370138601257
Bullock AL,8460,9954.07032,14229.516,16991.9136,6672.14352,12173.1516,8795.31228,-1.244312930415821
Butler AL,7608,8904.69648,13902.5232,16991.9136,5983.20156,11612.97588,7902.07836,-1.3622338220979293
Calhoun AL,8676,8934.67752,13665.1968,16600.614,6381.04248,13183.9848,8529.18756,-0.6957451232180542
Chambers AL,8928,8754.78516,13796.9052,16991.9136,6407.1702,12463.2696,8503.6794,-0.9721572803796028
Cherokee AL,7608,9744.1956,14190.2472,16991.9136,6287.38476,11705.11524,8294.406,-0.9421337792503423
Chilton AL,8556,9444.375,14222.9448,17642.436,6522.24612,13258.8696,9093.11724,-0.9340603242184136
Choctaw AL,7608,8964.65988,14774.04,16991.9136,6004.92816,11577.10548,8138.49972,-1.3715051441876824
Clarke AL,7608,8784.76752,13963.764,16991.9136,5939.7462,11856.77268,7938.62112,-1.1553454622526609
Clay AL,7608,9414.39252,14108.1156,16991.9136,6167.88432,12009.3492,8235.99972,-1.0766415703010839
Cleburne AL,7608,9114.5706,14354.7216,16991.9136,6059.24712,11893.93428,8164.6794,-1.0774036502678135
Coffee AL,8304,10313.85576,14846.9556,16991.9136,6745.98336,12640.518,9143.18772,-0.3194539343933392
Colbert AL,9270.18312,8604.87372,13816.9392,16888.014,6476.83812,13691.8764,8863.81272,-0.5583934338584504
Conecuh AL,7608,8874.71412,14306.202,16991.9136,5972.33748,11856.77268,8058.47676,-1.7156947040470527
Coosa AL,8268,10044.0168,14328.8028,16991.9136,6635.16648,12047.3484,8752.96872,-0.9110873532237806
Covington AL,7608,8934.67752,14194.446,16991.9136,5994.06408,11935.2012,8070.9456,-1.0164843892632214
Crenshaw AL,7608,9864.12372,14224.1364,16991.9136,6330.8394,11612.97588,8321.42208,-1.2027413624915797
Cullman AL,7980,9504.33912,13989.144,16991.9136,6335.26608,11871.72,8331.80496,-0.6339780601505617
Dale AL,7608,9534.32148,14307.9036,16991.9136,6211.33956,12122.9568,8358.52368,-0.5647451785591878
Dallas AL,7752,9474.35748,13076.484,16991.9136,6241.7886,11579.54076,7931.17164,-1.366352631389938
DeKalb AL,7608,9474.35748,14045.232,16991.9136,6189.61152,11753.89824,8175.1326,-0.912839370419889
Elmore AL,10917.05124,10073.99928,14943.1656,17319.1128,7605.88548,14981.5884,10652.6484,-0.2451007307739963
Escambia AL,7608,8964.65988,13786.1172,16991.9136,6004.92816,11763.7002,7932.00804,-1.2523176960279905
Etowah AL,8604,9084.58812,14500.9776,16600.614,6409.27368,12900.6024,8697.89868,-0.8051955391170856
Fayette AL,7608,9714.21384,14226.0684,16991.9136,6276.52152,11639.8338,8276.33568,-1.1978090204336345
Franklin AL,7608,8724.80352,13771.3668,16991.9136,5918.01852,11830.10376,7861.00416,-1.118747981769337
Geneva AL,7242.8298,8844.73248,14056.35,16888.014,5829.1578,12143.2908,7902.35964,-1.2456977816128096
Greene AL,7608,10014.03444,13945.5384,16237.4916,6385.158,11592.80052,8103.06228,-1.3568034398540298
Hale AL,6969.67896,9924.08784,15173.9916,16133.5908,6121.27812,11739.26004,8174.844,-1.0870091599043274
Henry AL,7608,9684.23076,15454.3668,16888.014,6265.65744,12749.3964,8838.49224,-0.8861826872752941
Houston AL,8737.75044,9714.21384,13276.1796,16888.014,6685.87428,13208.772,8802.98436,-0.31107267017464096
Jackson AL,8340,9624.26664,13965.4116,16991.9136,6509.16216,12094.164,8550.5706,-0.8935411414362702
Jefferson AL,11991.2388,9624.26664,13592.6028,17642.436,7832.1504,15340.02,10698.10176,-0.11938139504566585
Lamar AL,7608,9474.35748,14123.6172,16991.9136,6189.61152,11627.9238,8162.88276,-1.1379974425227346
Lauderdale AL,8817.9792,8784.76752,13846.2276,16888.014,6378.1692,13364.5212,8692.6794,-0.2940911816670305
Lawrence AL,7351.49124,9504.33912,15309.672,16816.164,6107.53236,12055.4808,8453.0544,-0.9549264335529045
Lee AL,9888,10673.64036,14036.7276,18073.5348,7450.29276,14017.5504,10227.09372,0.08839733185762
Limestone AL,8204.40384,9534.32148,15709.4244,18289.0836,6427.43916,13106.3784,9506.625,0.02849739559890596
Lowndes AL,7171.9644,9984.05268,15161.8056,17319.1128,6216.3018,12237.018,8695.39092,-1.6463909624331177
Macon AL,7968,9774.17796,13603.1136,16991.9136,6428.69088,12165.048,8398.19532,-1.333338657557487
Madison AL,10175.35992,9504.33912,14710.5444,18289.0836,7130.73048,14577.8712,10289.25,0.5323453273154523
Marengo AL,7608,8934.67752,14061.3876,16991.9136,5994.06408,12094.0308,8077.57836,-0.6499438765399996
Marion AL,7608,9444.375,14041.3608,16991.9136,6178.74828,12054.7764,8241.01536,-1.1656192278553217
Marshall AL,7920,8904.69648,13901.1288,16991.9136,6096.25128,11808.46584,8061.71124,-0.6163356467627193
Mobile AL,9888,9474.35748,13995.7632,16744.314,7015.7454,14030.6124,9475.53876,-0.6127886002807937
Monroe AL,7608,8964.65988,13948.4244,16991.9136,6004.92816,11604.00804,7932.6834,-1.207031639773864
Montgomery AL,10819.14036,9774.17796,13843.752,17319.1128,7461.77124,14909.8356,10224.10908,-0.3840182437244672
Morgan AL,8779.095,9294.46368,14392.3272,16816.164,6548.76264,13040.8932,8895.22632,-0.16327028925584727
Perry AL,7608,9204.51636,13970.5968,16991.9136,6091.83732,11634.49728,8030.50416,-1.849220121440373
Pickens AL,7608,10133.96412,14223.726,16888.014,6428.61324,12295.8396,8564.21856,-1.1339575903325203
Pike AL,8100,10223.90988,13235.9292,16991.9136,6639.4746,12029.7072,8472.6174,-0.843447749059795
Randolph AL,7608,8874.71412,14090.01,16991.9136,5972.33748,11627.9238,7943.76564,-0.9741973840601897
Russell AL,8967.92136,9414.39252,13315.4604,18073.5348,6660.6372,13765.0212,9233.33568,-0.9348123608418502
St. Clair AL,10912.02756,10343.83884,15050.3808,17642.436,7701.83868,14587.7148,10751.92968,-0.4245041899017264
Shelby AL,13949.808,10163.94648,14659.704,17642.436,8737.3638,16705.3128,12150.2184,1.0012386726332743
Sumter AL,9300,8874.71412,13846.6608,16991.9136,6585.41604,12572.5248,8716.10964,-1.1198739797618515
